script,gp_peak,count,mean,std,min,q25,median,q75,max
CurVer.py,gp_im_peak1_hz,10,196000.0,0.0,196000.0,196000.0,196000.0,196000.0,196000.0
CurVer.py,gp_im_peak2_hz,10,34800.0,0.0,34800.0,34800.0,34800.0,34800.0,34800.0
CurVer.py,gp_im_peak3_hz,10,308000.0,0.0,308000.0,308000.0,308000.0,308000.0,308000.0
CurVer.py,gp_phase_peak1_hz,10,18300000.0,0.0,18300000.0,18300000.0,18300000.0,18300000.0,18300000.0
CurVer.py,gp_phase_peak2_hz,10,75800000.0,0.0,75800000.0,75800000.0,75800000.0,75800000.0,75800000.0
CurVer.py,gp_phase_peak3_hz,10,11700000.0,0.0,11700000.0,11700000.0,11700000.0,11700000.0,11700000.0
CurVer.py,gp_re_peak1_hz,10,234000.0,0.0,234000.0,234000.0,234000.0,234000.0,234000.0
CurVer.py,gp_re_peak2_hz,10,38600.0,0.0,38600.0,38600.0,38600.0,38600.0,38600.0
CurVer.py,gp_re_peak3_hz,10,11900.0,0.0,11900.0,11900.0,11900.0,11900.0,11900.0
ablation_de_only.py,gp_im_peak1_hz,10,132830.0,164297.73820043227,18000.0,39900.0,44300.0,163725.0,436000.0
ablation_de_only.py,gp_im_peak2_hz,10,228720.0,179470.590596033,18000.0,25975.0,313500.0,363000.0,421000.0
ablation_de_only.py,gp_im_peak3_hz,10,247460.0,239544.90277282972,20700.0,28600.0,171400.0,487750.0,555000.0
ablation_de_only.py,gp_phase_peak1_hz,10,16494000.0,12804626.073762907,7710000.0,7710000.0,14600000.0,18300000.0,50000000.0
ablation_de_only.py,gp_phase_peak2_hz,10,45791000.0,36628961.35573598,7710000.0,10900000.0,46750000.0,75800000.0,96600000.0
ablation_de_only.py,gp_phase_peak3_hz,10,22200000.0,12771148.038536794,10900000.0,14175000.0,17700000.0,28350000.0,51800000.0
ablation_de_only.py,gp_re_peak1_hz,10,128180.0,183262.8640323329,16200.0,21150.0,36650.0,197475.0,575000.0
ablation_de_only.py,gp_re_peak2_hz,10,97610.0,159889.9513901845,11500.0,17400.0,26250.0,39900.0,467000.0
ablation_de_only.py,gp_re_peak3_hz,10,85190.0,202207.79438763263,11100.0,11900.0,23800.0,33150.0,660000.0
ablation_ga_ls.py,gp_im_peak1_hz,10,396000.0,126491.10640673517,36000.0,436000.0,436000.0,436000.0,436000.0
ablation_ga_ls.py,gp_im_peak2_hz,10,77500.0,131234.52289698774,36000.0,36000.0,36000.0,36000.0,451000.0
ablation_ga_ls.py,gp_im_peak3_hz,10,6897.0,6536.42792356804,4830.0,4830.0,4830.0,4830.0,25500.0
ablation_ga_ls.py,gp_phase_peak1_hz,10,18240000.0,189736.65961010277,17700000.0,18300000.0,18300000.0,18300000.0,18300000.0
ablation_ga_ls.py,gp_phase_peak2_hz,10,69350000.0,20396690.908086047,11300000.0,75800000.0,75800000.0,75800000.0,75800000.0
ablation_ga_ls.py,gp_phase_peak3_hz,10,12498000.0,1587463.3854045265,7980000.0,13000000.0,13000000.0,13000000.0,13000000.0
ablation_ga_ls.py,gp_re_peak1_hz,10,81440.0,135471.97496161336,38600.0,38600.0,38600.0,38600.0,467000.0
ablation_ga_ls.py,gp_re_peak2_hz,10,438060.0,142112.75804796696,33600.0,483000.0,483000.0,483000.0,483000.0
ablation_ga_ls.py,gp_re_peak3_hz,10,721700.0,122380.14544851628,683000.0,683000.0,683000.0,683000.0,1070000.0
ablation_ls_only.py,gp_im_peak1_hz,10,436000.0,0.0,436000.0,436000.0,436000.0,436000.0,436000.0
ablation_ls_only.py,gp_im_peak2_hz,10,36000.0,0.0,36000.0,36000.0,36000.0,36000.0,36000.0
ablation_ls_only.py,gp_im_peak3_hz,10,4830.0,0.0,4830.0,4830.0,4830.0,4830.0,4830.0
ablation_ls_only.py,gp_phase_peak1_hz,10,18300000.0,0.0,18300000.0,18300000.0,18300000.0,18300000.0,18300000.0
ablation_ls_only.py,gp_phase_peak2_hz,10,75800000.0,0.0,75800000.0,75800000.0,75800000.0,75800000.0,75800000.0
ablation_ls_only.py,gp_phase_peak3_hz,10,13000000.0,0.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
ablation_ls_only.py,gp_re_peak1_hz,10,38600.0,0.0,38600.0,38600.0,38600.0,38600.0,38600.0
ablation_ls_only.py,gp_re_peak2_hz,10,483000.0,0.0,483000.0,483000.0,483000.0,483000.0,483000.0
ablation_ls_only.py,gp_re_peak3_hz,10,683000.0,0.0,683000.0,683000.0,683000.0,683000.0,683000.0
ablation_no_freq_weights.py,gp_im_peak1_hz,10,53840.0,40139.844433070626,34800.0,34800.0,34800.0,34800.0,130000.0
ablation_no_freq_weights.py,gp_im_peak2_hz,10,23800.0,0.0,23800.0,23800.0,23800.0,23800.0,23800.0
ablation_no_freq_weights.py,gp_im_peak3_hz,10,446400.0,291772.81877820246,308000.0,308000.0,308000.0,308000.0,1000000.0
ablation_no_freq_weights.py,gp_phase_peak1_hz,10,18300000.0,0.0,18300000.0,18300000.0,18300000.0,18300000.0,18300000.0
ablation_no_freq_weights.py,gp_phase_peak2_hz,10,75800000.0,0.0,75800000.0,75800000.0,75800000.0,75800000.0,75800000.0
ablation_no_freq_weights.py,gp_phase_peak3_hz,10,15740000.0,8517067.831386834,11700000.0,11700000.0,11700000.0,11700000.0,31900000.0
ablation_no_freq_weights.py,gp_re_peak1_hz,10,212480.0,98072.77116735534,26400.0,259000.0,259000.0,259000.0,259000.0
ablation_no_freq_weights.py,gp_re_peak2_hz,10,50040.0,39507.38890103695,31300.0,31300.0,31300.0,31300.0,125000.0
ablation_no_freq_weights.py,gp_re_peak3_hz,10,53160.0,68431.68856604373,20700.0,20700.0,20700.0,20700.0,183000.0
ablation_no_reim_scaling.py,gp_im_peak1_hz,10,35160.0,579.6550698475776,34800.0,34800.0,34800.0,35700.0,36000.0
ablation_no_reim_scaling.py,gp_im_peak2_hz,10,349600.0,49270.68093704409,319000.0,319000.0,319000.0,395500.0,421000.0
ablation_no_reim_scaling.py,gp_im_peak3_hz,10,19830.0,3912.6717214711484,17400.0,17400.0,17400.0,23475.0,25500.0
ablation_no_reim_scaling.py,gp_phase_peak1_hz,10,18300000.0,0.0,18300000.0,18300000.0,18300000.0,18300000.0,18300000.0
ablation_no_reim_scaling.py,gp_phase_peak2_hz,10,75800000.0,0.0,75800000.0,75800000.0,75800000.0,75800000.0,75800000.0
ablation_no_reim_scaling.py,gp_phase_peak3_hz,10,12610000.0,627959.6590015424,11700000.0,12025000.0,13000000.0,13000000.0,13000000.0
ablation_no_reim_scaling.py,gp_re_peak1_hz,10,339500.0,99024.40776562784,278000.0,278000.0,278000.0,431750.0,483000.0
ablation_no_reim_scaling.py,gp_re_peak2_hz,10,35210.0,5458.4185743980215,27300.0,30125.0,38600.0,38600.0,38600.0
ablation_no_reim_scaling.py,gp_re_peak3_hz,10,213230.0,324172.09781225777,11900.0,11900.0,11900.0,515225.0,683000.0
