script,ablation_name,seed,return_code,finished_at,duration_seconds,top1_cost,top1_nfev,top1_status,p,N_freq_fit,N_residual_dim,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,de_popsize,de_maxiter,n_starts,top_k,SSE_raw,RMSE_raw,AIC_raw,BIC_raw,n,gp_re_peak1_hz,gp_re_peak2_hz,gp_re_peak3_hz,gp_im_peak1_hz,gp_im_peak2_hz,gp_im_peak3_hz,gp_phase_peak1_hz,gp_phase_peak2_hz,gp_phase_peak3_hz,param_Csf,param_Csf0,param_Csw,param_Lad,param_Llr,param_Lls,param_Lm,param_Rcore,param_Rrs,param_Rsf,param_Rsw,param_nLls
CurVer.py,,0,0,2026-03-27T18:27:01,70.094,1540.1,73,2,12,1590,3180,18911,18911,7440,5.439,1.303,3.998,10,60,120.0,10.0,54506400.0,130.921,31026.43,31099.206,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,1.60692e-09,6.33914e-10,1.29531e-07,0.0138019,0.0328823,0.0206863,5263.15,2800.0,27.4,14312.5,1.11988e-10
ablation_de_only.py,DE only,0,0,2026-03-27T18:27:36,35.046,4692.2,28800,True,12,1590,3180,28801,28801,28800,9.854,9.733,0.0,20,160,,,54599300.0,131.033,31031.848,31104.623,3180,250000.0,39900.0,11900.0,203000.0,18000.0,308000.0,18300000.0,75800000.0,11700000.0,3.5095e-10,3.42416e-10,6.38424e-10,1.26296e-07,0.0134499,0.0324482,0.0221839,5405.84,2799.04,27.9039,14315.7,1.56047e-09
ablation_ga_ls.py,GA + LS,0,0,2026-03-27T18:28:46,70.063,2084.75,66,2,12,1590,3180,7963,7963,7320,1.685,1.292,0.286,10,60,120.0,10.0,133512000.0,204.902,33875.306,33948.082,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53467e-10,7.28712e-09,7.12277e-10,1.28486e-07,0.0585673,0.0292213,0.0302789,3475.59,903.408,27.4,13435.1,2.32446e-11
ablation_ls_only.py,LS only,0,0,2026-03-27T18:30:07,80.141,2084.75,68,2,12,1590,3180,693,693,0,0.418,0.0,0.284,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,0,0,2026-03-27T18:31:37,90.109,1025.65,43,2,12,1590,3180,14035,14035,7440,13.536,1.426,11.978,10,60,120.0,10.0,43410100.0,116.837,30302.583,30375.359,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,8.79117e-11,6.46359e-10,1.26616e-07,0.0177426,0.0324586,0.0209495,5109.55,2800.0,27.4,14138.7,8.28471e-10
ablation_no_reim_scaling.py,No Re/Im separate scaling,0,0,2026-03-27T18:33:17,100.141,37674600.0,38,2,12,1590,3180,14830,14830,7440,15.482,1.411,13.941,10,60,120.0,10.0,52797600.0,128.853,30925.141,30997.917,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59755e-10,9.0248e-11,6.32625e-10,1.27795e-07,0.0141987,0.0322554,0.0222065,5944.46,2800.0,27.4,14170.5,2.72006e-11
CurVer.py,,1,0,2026-03-27T18:34:42,85.093,1540.1,37,2,12,1590,3180,18198,18198,7440,22.26,1.428,20.703,10,60,120.0,10.0,54504600.0,130.919,31026.325,31099.101,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,7.37976e-09,6.33915e-10,1.27902e-07,0.0138023,0.0328823,0.0206864,5263.03,2800.0,27.4,14312.5,1.73811e-09
ablation_de_only.py,DE only,1,0,2026-03-27T18:35:42,60.094,9519.02,33360,True,12,1590,3180,33361,33361,33360,16.349,16.237,0.0,20,160,,,129034000.0,201.437,33766.826,33839.601,3180,575000.0,32500.0,23000.0,36000.0,20700.0,555000.0,18300000.0,75800000.0,31900000.0,3.4558e-10,4.83181e-10,7.26852e-10,1.10343e-07,0.0601574,0.0290758,0.031451,3363.23,607.063,27.4063,13537.4,5.83301e-10
ablation_ga_ls.py,GA + LS,1,0,2026-03-27T18:37:07,85.172,2084.75,65,2,12,1590,3180,7974,7974,7320,1.846,1.424,0.303,10,60,120.0,10.0,133512000.0,204.902,33875.306,33948.081,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.82294e-11,7.12276e-10,1.26836e-07,0.0585739,0.0292214,0.0302768,3475.57,903.666,27.4,13435.2,1.62284e-09
ablation_ls_only.py,LS only,1,0,2026-03-27T18:38:27,80.125,2084.75,68,2,12,1590,3180,693,693,0,0.386,0.0,0.277,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,1,0,2026-03-27T18:39:58,90.187,1487.21,29,2,12,1590,3180,15980,15980,7440,17.099,1.411,15.559,10,60,120.0,10.0,99504300.0,176.892,32940.417,33013.193,3180,26400.0,125000.0,183000.0,130000.0,23800.0,1000000.0,18300000.0,75800000.0,31900000.0,3.15731e-10,2.44257e-10,7.82947e-10,1.33007e-07,0.0640631,0.0287581,0.0314703,3645.77,931.403,27.4,13334.5,9.09875e-10
ablation_no_reim_scaling.py,No Re/Im separate scaling,1,0,2026-03-27T18:41:38,100.157,37674600.0,42,2,12,1590,3180,18731,18731,7440,21.917,1.386,20.404,10,60,120.0,10.0,52797500.0,128.853,30925.134,30997.91,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59756e-10,8.92706e-10,6.32624e-10,1.27463e-07,0.0141988,0.0322553,0.0222065,5944.48,2800.0,27.4,14170.5,3.59477e-10
CurVer.py,,2,0,2026-03-27T18:43:08,90.109,1540.1,52,2,12,1590,3180,20750,20750,7440,29.895,1.436,28.323,10,60,120.0,10.0,54507700.0,130.923,31026.507,31099.282,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46143e-10,3.65735e-10,6.33914e-10,1.29084e-07,0.0138016,0.0328823,0.0206862,5263.22,2800.0,27.4,14312.5,5.72748e-10
ablation_de_only.py,DE only,2,0,2026-03-27T18:44:13,65.141,97521.5,11040,True,12,1590,3180,11041,11041,11040,2.203,2.095,0.0,20,160,,,1146780000.0,600.518,40713.956,40786.731,3180,16200.0,319000.0,11500.0,45900.0,319000.0,451000.0,7710000.0,10900000.0,17700000.0,1.62181e-09,6.28677e-10,8.06341e-10,6.94237e-08,0.112553,0.0423939,0.0503051,105.509,24.2185,170108.0,18315.2,2.87411e-10
ablation_ga_ls.py,GA + LS,2,0,2026-03-27T18:45:33,80.125,2084.75,46,2,12,1590,3180,7775,7775,7320,1.677,1.324,0.245,10,60,120.0,10.0,133512000.0,204.902,33875.304,33948.079,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53467e-10,7.38359e-11,7.12277e-10,1.28414e-07,0.05857,0.0292213,0.030278,3475.59,903.515,27.4,13435.1,4.56311e-11
ablation_ls_only.py,LS only,2,0,2026-03-27T18:46:48,75.109,2084.75,68,2,12,1590,3180,693,693,0,0.448,0.0,0.338,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,2,0,2026-03-27T18:48:38,110.172,1025.65,23,2,12,1590,3180,18537,18537,7440,11.588,1.451,10.008,10,60,120.0,10.0,43410200.0,116.837,30302.586,30375.361,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,7.37997e-09,6.46358e-10,1.25892e-07,0.0177424,0.0324586,0.0209495,5109.58,2800.0,27.4,14138.7,1.54478e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,2,0,2026-03-27T18:50:24,105.172,64596300.0,67,2,12,1590,3180,18405,18405,7440,24.508,1.616,22.724,10,60,120.0,10.0,123702000.0,197.231,33632.617,33705.392,3180,483000.0,27300.0,683000.0,36000.0,421000.0,25500.0,18300000.0,75800000.0,11700000.0,3.47815e-10,1.3741e-10,7.26627e-10,1.27101e-07,0.075323,0.0289806,0.028316,3502.39,1159.36,27.4,13416.8,1.67811e-09
CurVer.py,,3,0,2026-03-27T18:51:49,85.14,1540.1,32,2,12,1590,3180,16931,16931,7440,22.304,1.567,20.586,10,60,120.0,10.0,54507600.0,130.923,31026.504,31099.28,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46143e-10,7.12089e-09,6.33914e-10,1.28281e-07,0.0138016,0.0328823,0.0206862,5263.22,2800.0,27.4,14312.5,1.38458e-09
ablation_de_only.py,DE only,3,0,2026-03-27T18:53:04,75.125,98620.3,21840,True,12,1590,3180,21841,21841,21840,10.246,10.131,0.0,20,160,,,1140760000.0,598.941,40697.235,40770.011,3180,16200.0,11500.0,37300.0,44300.0,366000.0,518000.0,7710000.0,10900000.0,17700000.0,2.43576e-09,2.91117e-10,7.98124e-10,5.23745e-08,0.0089866,0.0412126,0.0276024,106.919,0.43662,20855.2,77314.6,2.60041e-11
ablation_ga_ls.py,GA + LS,3,0,2026-03-27T18:54:29,85.141,2084.75,48,2,12,1590,3180,7813,7813,7320,1.69,1.352,0.221,10,60,120.0,10.0,133512000.0,204.902,33875.309,33948.085,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,1.11712e-10,7.12276e-10,1.27482e-07,0.0585723,0.0292214,0.0302772,3475.56,903.604,27.4,13435.2,1.04413e-09
ablation_ls_only.py,LS only,3,0,2026-03-27T18:55:49,80.109,2084.75,68,2,12,1590,3180,693,693,0,0.457,0.0,0.301,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,3,0,2026-03-27T18:57:24,95.204,1025.65,40,2,12,1590,3180,14045,14045,7440,13.81,1.42,12.248,10,60,120.0,10.0,43410100.0,116.837,30302.583,30375.358,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,5.81538e-09,6.46359e-10,1.26334e-07,0.0177426,0.0324585,0.0209495,5109.55,2800.0,27.4,14138.7,1.12264e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,3,0,2026-03-27T18:59:04,100.156,37674600.0,48,2,12,1590,3180,17534,17534,7440,21.332,1.391,19.803,10,60,120.0,10.0,52793800.0,128.848,30924.912,30997.687,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59754e-10,8.98424e-11,6.32627e-10,1.27757e-07,0.0141994,0.0322553,0.0222068,5944.24,2800.0,27.4,14170.5,6.4636e-11
CurVer.py,,4,0,2026-03-27T19:00:30,85.172,1540.1,77,2,12,1590,3180,18262,18262,7440,23.199,1.412,21.655,10,60,120.0,10.0,54501900.0,130.916,31026.169,31098.944,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,2.35496e-09,6.33916e-10,1.29582e-07,0.0138029,0.0328822,0.0206866,5262.89,2800.0,27.4,14312.5,5.87225e-11
ablation_de_only.py,DE only,4,0,2026-03-27T19:01:45,75.125,4691.93,34080,True,12,1590,3180,34081,34081,34080,18.704,18.589,0.0,20,160,,,54432000.0,130.832,31022.089,31094.864,3180,259000.0,39900.0,11900.0,18000.0,308000.0,34800.0,18300000.0,75800000.0,13000000.0,3.51372e-10,1.23407e-09,6.38139e-10,1.32949e-07,0.0135125,0.0324379,0.0222396,5402.14,2798.63,27.6857,14309.5,2.07259e-10
ablation_ga_ls.py,GA + LS,4,0,2026-03-27T19:03:10,85.172,2084.75,45,2,12,1590,3180,7786,7786,7320,1.785,1.456,0.204,10,60,120.0,10.0,133512000.0,204.902,33875.298,33948.073,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,5.65969e-09,7.12275e-10,1.27597e-07,0.0585803,0.0292214,0.0302749,3475.57,903.916,27.4,13435.2,8.55055e-10
ablation_ls_only.py,LS only,4,0,2026-03-27T19:04:30,80.14,2084.75,68,2,12,1590,3180,693,693,0,0.405,0.0,0.281,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,4,0,2026-03-27T19:06:00,90.172,1025.65,45,2,12,1590,3180,17293,17293,7440,8.698,1.414,7.148,10,60,120.0,10.0,43410000.0,116.837,30302.575,30375.35,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48331e-10,3.17472e-09,6.46361e-10,1.273e-07,0.0177431,0.0324585,0.0209496,5109.47,2800.0,27.4,14138.7,1.87338e-10
